Tip Matrice,Tip alocare,Nr threads,Timp executie
N=M=1000 si n=m=5,Static,4,122.86678
N=M=1000 si n=m=5,Static,4,122.76519
N=M=1000 si n=m=5,Static,4,122.58292
N=M=1000 si n=m=5,Static,4,122.82843
N=M=1000 si n=m=5,Static,4,122.48349
N=M=1000 si n=m=5,Static,4,122.44649
N=M=1000 si n=m=5,Static,4,122.69267
N=M=1000 si n=m=5,Static,4,122.99734
N=M=1000 si n=m=5,Static,4,122.09482
N=M=1000 si n=m=5,Static,4,123.27191
N=M=1000 si n=m=5,Static,4,123.14415
N=M=1000 si n=m=5,Static,4,122.59456
N=M=1000 si n=m=5,Static,8,64.88852
N=M=1000 si n=m=5,Static,8,64.4919
N=M=1000 si n=m=5,Static,8,64.67028
N=M=1000 si n=m=5,Static,8,63.95251
N=M=1000 si n=m=5,Static,8,65.31861
N=M=1000 si n=m=5,Static,8,65.54637
N=M=1000 si n=m=5,Static,8,64.47886
N=M=1000 si n=m=5,Static,8,64.57601
N=M=1000 si n=m=5,Static,8,65.39022
N=M=1000 si n=m=5,Static,8,64.78772
N=M=1000 si n=m=5,Static,8,65.19418
N=M=1000 si n=m=5,Static,8,65.72244
N=M=1000 si n=m=5,Static,8,65.44329
N=M=1000 si n=m=5,Static,8,65.48292
N=M=1000 si n=m=5,Static,8,65.13768
N=M=1000 si n=m=5,Static,16,29.04881
N=M=1000 si n=m=5,Static,16,29.54839
N=M=1000 si n=m=5,Static,16,32.57006
